"","maxprediction","minprediction"
"1",65.5131931668857,43.1413753832676
"2",62.7244984669295,NA
"3",62.4327726675427,43.4728865527814
"4",63.3385895751205,43.7953569864214
"5",66.0049277266754,46.5384143670609
"6",65.8078887428822,47.7411300919842
"7",68.6761892247043,46.0882172579939
"8",68.6810556285589,46.4470433639947
"9",67.1611563731932,49.8970652650022
"10",66.4176346911958,48.9940429259746
"11",64.4426062198861,47.0902321506789
"12",65.2674113009198,42.5074244415243
"13",67.8665965834428,44.0588261060009
"14",68.7801095050372,44.6932106876916
"15",69.6503328953132,NA
"16",70.5013447218572,48.2255453350854
"17",69.9878493210688,51.4886552781428
"18",68.5819667104687,51.6403416557162
"19",65.2214629872974,47.6694875164258
"20",64.771243977223,42.0754927726675
"21",64.3195006570302,42.8697547087166
"22",64.0355278142795,44.0029785370127
"23",68.2313710030661,NA
"24",68.9027244853263,44.5155935173018
"25",69.2021988611476,48.9032413491021
"26",68.1182917214192,46.8762593079282
"27",68.0736092860272,45.5649934296978
"28",67.2697196671047,43.2689268506351
"29",70.33082347788,45.9463950941743
"30",70.0976697328077,46.2043802014893
"31",68.4896583442838,43.5549715286903
"32",69.66814717477,43.8256679807271
"33",70.1313447218572,45.1392466053438
"34",72.047744196233,49.5150240911082
"35",74.6287691633815,49.6246868155935
"36",71.2943232588699,50.7103372755147
"37",73.9568988173456,51.2283837056505
"38",73.6036005256242,51.6459702146299
"39",67.3333158125274,50.7661673236969
"40",69.5712045554095,44.8225142356548
"41",68.9574726237407,47.8656154183092
"42",70.073250109505,45.183070521244
"43",70.9118002628121,46.1927288655278
"44",74.1141480508103,47.668550153307
"45",73.6439728427508,49.6298729741568
"46",72.5471222076215,51.15102934735
"47",74.3076784932107,49.6624178712221
"48",74.3719754708716,50.7999123959702
"49",74.8214629872974,49.5904511607534
"50",76.2444590451161,51.3809242225142
"51",79.1971966710469,51.8837932544897
"52",80.0143714410863,53.4296495838809
"53",80.032641261498,55.5271309680245
"54",80.2111695137976,58.9775733683749
"55",78.6212133158125,58.6113009198423
"56",77.6535435830048,55.082435392028
"57",78.2563819535699,53.8188348664038
"58",79.9813228208498,54.3349102058695
"59",81.9381515549715,53.9716162943495
"60",84.8433333333333,53.74
"61",84.5788173455979,56.8322032413491
"62",84.9450021901007,57.984494086728
"63",84.4214629872974,60.2093298291721
"64",87.0739553219448,60.6089531318441
"65",85.6109373631187,60.8886640385458
"66",87.9867017082786,58.3045554095488
"67",85.9848620236531,62.0011388523872
"68",83.721826544021,61.3211782742006
"69",83.7743363994744,58.4635129215944
"70",82.5287078405607,59.3671134472186
"71",84.4288085851949,58.8584844502847
"72",85.2670127025843,60.7806745510293
"73",83.8502365308804,60.5614191852825
"74",86.0836443276391,59.4830267192291
"75",86.6713140604468,59.7686377573368
"76",89.4359745948314,62.1100306614104
"77",92.5962286465177,63.3709855453351
"78",93.5937319316689,64.9462461673237
"79",92.4884625492773,65.9257687253614
"80",90.6525536574682,65.6814717477004
"81",90.2265703022339,64.0298817345598
"82",92.9073404404545,64.3483938841352
"83",93.1746766727451,66.2186281385889
"84",93.3030551269463,66.309713844859
"85",91.2239023705989,66.2874175901248
"86",92.7252630102399,66.1682634310562
"87",92.600095385047,68.1032963950063
"88",93.7828306915416,67.2132851732361
"89",91.7351942768972,69.3241127787908
"90",93.1021012764764,67.24634871651
"91",93.3195062421097,69.6290643849067
"92",91.4766622864652,66.7095225580377
"93",94.5900569426193,70.3251073149365
"94",88.2551949189663,68.6087691633815
"95",89.6424967148489,66.4696452036794
"96",89.5702365308804,66.281208935611
"97",90.2764388961892,65.3556373193167
"98",91.7527595269382,67.3711344721857
"99",92.6839509417433,68.5317564607972
"100",94.1406482698204,68.0451598773544
"101",94.6333771353482,70.026929478756
"102",95.99835304424,70.9169689005694
"103",96.741611914148,73.5334165571616
"104",96.9670389837933,74.3893780113885
"105",99.4478931230837,72.7916557161629
"106",100.094989049496,75.1492553657468
"107",98.7192290845379,75.6189575120456
"108",95.3214191852825,73.2065002190101
"109",97.6987034603592,72.5162855891371
"110",100.881252737626,74.1304730617608
"111",101.755168637757,74.2649583880858
"112",101.25085413929,77.7106438896189
"113",101.011909767849,76.3705869469996
"114",101.315549715287,75.0685107314936
"115",101.749785370127,74.3023872098117
"116",102.125650459921,74.6073149364871
"117",102.582566798073,76.9414279456855
"118",103.73876478318,75.8035698642137
"119",104.069680245291,76.4284099868594
"120",105.103031099431,76.566508979413
"121",106.787796758651,76.9144327639071
"122",106.251782742006,78.2122514235655
"123",103.563171265878,80.5080858519492
"124",104.906684187473,78.575908891809
"125",105.715374507227,80.822864651774
"126",101.326570302234,79.6682260183969
"127",100.707288655278,79.9237625930793
"128",100.118598335523,79.2596452036794
"129",103.266333771353,77.4583442838371
"130",102.127682873412,79.9228208497591
"131",102.97135348226,80.2311870346036
"132",100.915295663601,78.671003066141
"133",102.441476127902,79.2706307490144
"134",101.306819973719,79.3039859833552
"135",99.6062198861148,77.3839246605344
"136",103.100008760403,80.1735435830048
"137",105.610687691634,82.5598948751642
"138",107.904686815594,83.41835304424
"139",105.421936049058,84.3751861585633
"140",101.152869031975,78.7004292597459
"141",98.2507227332457,77.9929040735874
"142",94.9045816907578,74.9859658344284
"143",97.3552168199737,77.7120455540955
"144",100.032413491021,77.84082347788
"145",100.787144108629,79.1565703022339
"146",102.960446780552,80.5233902759527
"147",101.271134472186,77.6577310556286
"148",103.5861760841,79.9219448094612
"149",101.975952693824,81.0586027157249
"150",103.227639071397,80.3608409986859
"151",101.760017520806,79.4683223828296
